Mouse,Radiation,Diet,Date,Weight
3042,Sham,CDDO-EA,2020-03-04,24.5
3077,Sham,CDDO-EA,2019-04-03,22.1
3077,Sham,CDDO-EA,2019-05-01,22.9
3077,Sham,CDDO-EA,2019-05-07,22.8
3077,Sham,CDDO-EA,2019-05-28,23.6
3077,Sham,CDDO-EA,2019-06-05,22.3
3077,Sham,CDDO-EA,2019-06-12,22.3
3077,Sham,CDDO-EA,2019-06-19,22.5
3077,Sham,CDDO-EA,2019-06-26,23.3
3077,Sham,CDDO-EA,2019-07-03,22.5
3077,Sham,CDDO-EA,2019-07-10,22.6
3077,Sham,CDDO-EA,2019-07-17,22.9
3077,Sham,CDDO-EA,2019-07-24,23.7
3077,Sham,CDDO-EA,2019-07-31,23.3
3077,Sham,CDDO-EA,2019-08-07,24
3077,Sham,CDDO-EA,2019-08-14,23.7
3077,Sham,CDDO-EA,2019-08-21,22.9
3077,Sham,CDDO-EA,2019-08-28,22.9
3077,Sham,CDDO-EA,2019-09-04,22.9
3077,Sham,CDDO-EA,2019-09-11,22.4
3077,Sham,CDDO-EA,2019-09-18,22.5
3077,Sham,CDDO-EA,2019-09-25,22.8
3077,Sham,CDDO-EA,2019-10-02,22.9
3077,Sham,CDDO-EA,2019-10-09,23
3077,Sham,CDDO-EA,2019-10-15,23.7
3077,Sham,CDDO-EA,2019-10-22,23.8
3077,Sham,CDDO-EA,2019-10-30,23.6
3077,Sham,CDDO-EA,2019-11-05,23.7
3077,Sham,CDDO-EA,2019-11-13,23.6
3077,Sham,CDDO-EA,2019-11-20,24.5
3077,Sham,CDDO-EA,2019-11-27,25.8
3077,Sham,CDDO-EA,2019-12-14,22.7
3077,Sham,CDDO-EA,2019-12-11,24.2
3077,Sham,CDDO-EA,2019-12-20,25.6
3077,Sham,CDDO-EA,2019-12-26,26
3077,Sham,CDDO-EA,2020-01-02,24.8
3077,Sham,CDDO-EA,2020-01-08,26.3
3077,Sham,CDDO-EA,2020-01-15,24.7
3077,Sham,CDDO-EA,2020-01-22,24.2
3077,Sham,CDDO-EA,2020-01-29,24.1
3077,Sham,CDDO-EA,2020-02-05,23.9
3077,Sham,CDDO-EA,2020-02-12,25.2
3077,Sham,CDDO-EA,2020-02-19,26.7
3077,Sham,CDDO-EA,2020-02-26,26
3077,Sham,CDDO-EA,2020-03-04,26.2
3077,Sham,CDDO-EA,2020-03-20,26
3077,Sham,CDDO-EA,2020-04-24,28.1
3078,Sham,CDDO-EA,2019-04-03,22.9
3078,Sham,CDDO-EA,2019-05-01,23.2
